3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,1,0,,,,,,,,,,,,,,,,,,,3
3,0,,,,,,,,,,11,,,,,12,,,,,3
3,0,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,9,,,,10,,,,,,,,,,3
3,,,,,,,,,,,,,,4,,,,5,,,3
3,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,13,,,,,3
3,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,8,,,,,,,,,,,6,,,3
3,,,,7,,,,,,,,3,,3,,,,,,,3
3,,3,3,3,3,3,,,,,,3,,3,,,,,,,3
3,,,,,,0,,,,3,,3,,3,,3,,,,,3
3,,,,,,0,,,,3,,3,,3,,3,,,,,3
3,,,0,,,0,,3,,3,,3,,3,,3,,3,,,3
3,0,,0,,,0,,3,,3,,3,,3,,3,,3,,2,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
